# package_versions_rhel9.txt - RHEL9 variant (SLU) - generated 2026-08-27
# Image: dgilli/baseimage-selkies:rhel9-p1 (10bbd70e1502)
# REPO key: ubi9-base = vanilla UBI9 layer | rhel9 = RH-signed, installed from entitled rhel-9-for-x86_64-* repos (subscription-manager container mode)
#           epel = EPEL9 (desktop delta) | python = /lsiopy venv (selkies 348bc4f + deps)
#
NAME                                                                          VERSION                                 TYPE      REPO
libunistring                                                           0.9.10-15.el9.x86_64                     rpm      ubi9-base
pcre                                                                   8.44-4.el9.x86_64                        rpm      ubi9-base
grep                                                                   3.6-5.el9.x86_64                         rpm      ubi9-base
libidn2                                                                2.3.0-7.el9.x86_64                       rpm      ubi9-base
mpfr                                                                   4.1.0-10.el9.x86_64                      rpm      ubi9-base
gawk                                                                   5.1.0-6.el9.x86_64                       rpm      ubi9-base
libcomps                                                               0.1.18-1.el9.x86_64                      rpm      ubi9-base
attr                                                                   2.5.1-3.el9.x86_64                       rpm      ubi9-base
keyutils                                                               1.6.3-1.el9.x86_64                       rpm      ubi9-base
libgcrypt                                                              1.10.0-13.el9_8.x86_64                   rpm      ubi9-base
libksba                                                                1.5.1-7.el9.x86_64                       rpm      ubi9-base
alternatives                                                           1.24-2.el9.x86_64                        rpm      ubi9-base
p11-kit-trust                                                          0.26.4-1.el9_8.x86_64                    rpm      ubi9-base
libcap-ng                                                              0.8.2-7.el9.x86_64                       rpm      ubi9-base
audit-libs                                                             3.1.5-8.el9.x86_64                       rpm      ubi9-base
libgomp                                                                11.5.0-14.el9.x86_64                     rpm      ubi9-base
libnghttp2                                                             1.43.0-6.el9_8.2.x86_64                  rpm      ubi9-base
libtool-ltdl                                                           2.4.6-46.el9.x86_64                      rpm      ubi9-base
libverto                                                               0.3.2-3.el9.x86_64                       rpm      ubi9-base
libyaml                                                                0.2.5-7.el9.x86_64                       rpm      ubi9-base
lz4-libs                                                               1.9.3-5.el9.x86_64                       rpm      ubi9-base
nettle                                                                 3.10.1-1.el9.x86_64                      rpm      ubi9-base
gnutls                                                                 3.8.10-8.el9_8.x86_64                    rpm      ubi9-base
npth                                                                   1.6-8.el9.x86_64                         rpm      ubi9-base
pcre2                                                                  10.40-6.el9.x86_64                       rpm      ubi9-base
libselinux                                                             3.6-3.el9.x86_64                         rpm      ubi9-base
sed                                                                    4.8-10.el9.x86_64                        rpm      ubi9-base
libblkid                                                               2.37.4-25.el9.x86_64                     rpm      ubi9-base
libmount                                                               2.37.4-25.el9.x86_64                     rpm      ubi9-base
glib2                                                                  2.68.4-19.el9_8.9.x86_64                 rpm      ubi9-base
json-glib                                                              1.6.6-1.el9.x86_64                       rpm      ubi9-base
openssl-fips-provider-so                                               3.0.7-11.el9_8.x86_64                    rpm      ubi9-base
openssl-fips-provider                                                  3.0.7-11.el9_8.x86_64                    rpm      ubi9-base
findutils                                                              4.8.0-7.el9.x86_64                       rpm      ubi9-base
ca-certificates                                                        2025.2.80_v9.0.305-91.el9.noarch         rpm      ubi9-base
openssl-libs                                                           3.5.5-6.el9_8.x86_64                     rpm      ubi9-base
krb5-libs                                                              1.21.1-10.el9_8.x86_64                   rpm      ubi9-base
libcurl-minimal                                                        7.76.1-40.el9_8.5.x86_64                 rpm      ubi9-base
cyrus-sasl-lib                                                         2.1.27-22.el9.x86_64                     rpm      ubi9-base
libarchive                                                             3.5.3-11.el9_8.x86_64                    rpm      ubi9-base
rpm                                                                    4.16.1.3-40.el9.x86_64                   rpm      ubi9-base
rpm-libs                                                               4.16.1.3-40.el9.x86_64                   rpm      ubi9-base
libmodulemd                                                            2.13.0-2.el9.x86_64                      rpm      ubi9-base
libsolv                                                                0.7.24-6.el9_8.x86_64                    rpm      ubi9-base
libevent                                                               2.1.12-8.el9_4.x86_64                    rpm      ubi9-base
librhsm                                                                0.0.3-9.el9.x86_64                       rpm      ubi9-base
python3-pip-wheel                                                      21.3.1-2.el9_8.noarch                    rpm      ubi9-base
python3                                                                3.9.25-7.el9_8.3.x86_64                  rpm      ubi9-base
python3-libs                                                           3.9.25-7.el9_8.3.x86_64                  rpm      ubi9-base
python3-libcomps                                                       0.1.18-1.el9.x86_64                      rpm      ubi9-base
libsemanage                                                            3.6-5.el9_6.x86_64                       rpm      ubi9-base
shadow-utils                                                           4.9-16.el9.x86_64                        rpm      ubi9-base
openldap                                                               2.6.8-4.el9.x86_64                       rpm      ubi9-base
gnupg2                                                                 2.3.3-5.el9_7.x86_64                     rpm      ubi9-base
gpgme                                                                  1.15.1-6.el9.x86_64                      rpm      ubi9-base
librepo                                                                1.19.0-1.el9.x86_64                      rpm      ubi9-base
libdnf                                                                 0.69.0-18.el9.x86_64                     rpm      ubi9-base
python3-libdnf                                                         0.69.0-18.el9.x86_64                     rpm      ubi9-base
python3-hawkey                                                         0.69.0-18.el9.x86_64                     rpm      ubi9-base
python3-gpg                                                            1.15.1-6.el9.x86_64                      rpm      ubi9-base
tpm2-tss                                                               3.2.3-1.el9.x86_64                       rpm      ubi9-base
ima-evm-utils                                                          1.6.2-2.el9.x86_64                       rpm      ubi9-base
rpm-sign-libs                                                          4.16.1.3-40.el9.x86_64                   rpm      ubi9-base
elfutils-default-yama-scope                                            0.194-1.el9.noarch                       rpm      ubi9-base
elfutils-libs                                                          0.194-1.el9.x86_64                       rpm      ubi9-base
rpm-build-libs                                                         4.16.1.3-40.el9.x86_64                   rpm      ubi9-base
python3-rpm                                                            4.16.1.3-40.el9.x86_64                   rpm      ubi9-base
libreport-filesystem                                                   2.15.2-6.el9.noarch                      rpm      ubi9-base
dnf-data                                                               4.14.0-34.el9_8.noarch                   rpm      ubi9-base
python3-dnf                                                            4.14.0-34.el9_8.noarch                   rpm      ubi9-base
dnf                                                                    4.14.0-34.el9_8.noarch                   rpm      ubi9-base
fonts-filesystem                                                       2.0.5-7.el9.1.noarch                     rpm      ubi9-base
dejavu-sans-fonts                                                      2.37-18.el9.noarch                       rpm      ubi9-base
langpacks-core-font-en                                                 3.0-16.el9.noarch                        rpm      ubi9-base
langpacks-core-en                                                      3.0-16.el9.noarch                        rpm      ubi9-base
langpacks-en                                                           3.0-16.el9.noarch                        rpm      ubi9-base
yum                                                                    4.14.0-34.el9_8.noarch                   rpm      ubi9-base
libdnf-plugin-subscription-manager                                     1.29.50-1.el9.x86_64                     rpm      ubi9-base
crypto-policies-scripts                                                20260224-1.gitea0f072.el9_8.noarch       rpm      ubi9-base
gzip                                                                   1.12-1.el9.x86_64                        rpm      ubi9-base
tar                                                                    1.34-11.el9.x86_64                       rpm      ubi9-base
vim-minimal                                                            8.2.2637-26.el9_8.13.x86_64              rpm      ubi9-base
gdb-gdbserver                                                          16.3-3.el9.x86_64                        rpm      ubi9-base
rootfiles                                                              8.1-35.el9.noarch                        rpm      ubi9-base
systemd-libs                                                           252-67.el9_8.4.x86_64                    rpm      ubi9-base
python3-six                                                            1.15.0-9.el9.noarch                      rpm      ubi9-base
python3-dateutil                                                       2.9.0.post0-1.el9_7.noarch               rpm      ubi9-base
dmidecode                                                              3.6-2.el9.x86_64                         rpm      ubi9-base
python3-iniparse                                                       0.4-45.el9.noarch                        rpm      ubi9-base
subscription-manager-rhsm-certificates                                 20220623-1.el9.noarch                    rpm      ubi9-base
python3-setuptools                                                     53.0.0-15.el9.noarch                     rpm      ubi9-base
python3-idna                                                           2.10-8.el9_8.noarch                      rpm      ubi9-base
