# package_versions_rhel9.txt - RHEL9 variant (SLU) - generated 2026-08-27
# Image: dgilli/baseimage-selkies:rhel9-p1 (10bbd70e1502)
# REPO key: ubi9-base = vanilla UBI9 layer | rhel9 = RH-signed, installed from entitled rhel-9-for-x86_64-* repos (subscription-manager container mode)
#           epel = EPEL9 (desktop delta) | python = /lsiopy venv (selkies 348bc4f + deps)
#
NAME                                                                          VERSION                                 TYPE      REPO
libsndfile                                                             1.0.31-9.el9_8.1.x86_64                  rpm      rhel9
graphene                                                               1.10.6-2.el9.x86_64                      rpm      rhel9
fftw-libs-single                                                       3.3.8-12.el9.x86_64                      rpm      rhel9
jbigkit-libs                                                           2.1-23.el9.x86_64                        rpm      rhel9
libtiff                                                                4.4.0-18.el9_8.1.x86_64                  rpm      rhel9
lcms2                                                                  2.12-3.el9.x86_64                        rpm      rhel9
adwaita-cursor-theme                                                   40.1.1-3.el9.noarch                      rpm      rhel9
adwaita-icon-theme                                                     40.1.1-3.el9.noarch                      rpm      rhel9
python3-pyxdg                                                          0.27-3.el9.noarch                        rpm      rhel9
libdatrie                                                              0.2.13-4.el9.x86_64                      rpm      rhel9
libthai                                                                0.1.28-8.el9.x86_64                      rpm      rhel9
speexdsp                                                               1.2.0-5.el9.x86_64                       rpm      rhel9
libstemmer                                                             0-18.585svn.el9.x86_64                   rpm      rhel9
libevdev                                                               1.11.0-3.el9.x86_64                      rpm      rhel9
libinput                                                               1.19.3-8.el9_7.x86_64                    rpm      rhel9
libasyncns                                                             0.8-22.el9.x86_64                        rpm      rhel9
pulseaudio-libs                                                        15.0-3.el9.x86_64                        rpm      rhel9
kbd-misc                                                               2.4.0-12.el9_8.noarch                    rpm      rhel9
kbd-legacy                                                             2.4.0-12.el9_8.noarch                    rpm      rhel9
libusbx                                                                1.0.30-1.el9_8.x86_64                    rpm      rhel9
libgusb                                                                0.3.8-2.el9.x86_64                       rpm      rhel9
colord-libs                                                            1.4.5-6.el9_6.x86_64                     rpm      rhel9
hwdata                                                                 0.348-9.22.el9.noarch                    rpm      rhel9
libpciaccess                                                           0.16-7.el9.x86_64                        rpm      rhel9
libdrm                                                                 2.4.128-1.el9.x86_64                     rpm      rhel9
libtdb                                                                 1.4.14-1.el9.x86_64                      rpm      rhel9
libedit                                                                3.1-39.20210216cvs.el9.x86_64            rpm      rhel9
llvm-libs                                                              21.1.8-2.el9.x86_64                      rpm      rhel9
libglvnd-egl                                                           1.3.4-1.el9.x86_64                       rpm      rhel9
mesa-dri-drivers                                                       25.2.7-4.el9.x86_64                      rpm      rhel9
mesa-libgbm                                                            25.2.7-4.el9.x86_64                      rpm      rhel9
mesa-libEGL                                                            25.2.7-4.el9.x86_64                      rpm      rhel9
libglvnd-glx                                                           1.3.4-1.el9.x86_64                       rpm      rhel9
mesa-libGL                                                             25.2.7-4.el9.x86_64                      rpm      rhel9
vulkan-loader                                                          1.4.328.1-1.el9.x86_64                   rpm      rhel9
mesa-vulkan-drivers                                                    25.2.7-4.el9.x86_64                      rpm      rhel9
polkit-libs                                                            0.117-14.el9.x86_64                      rpm      rhel9
polkit                                                                 0.117-14.el9.x86_64                      rpm      rhel9
rtkit                                                                  0.11-29.el9.x86_64                       rpm      rhel9
avahi-libs                                                             0.8-23.el9.x86_64                        rpm      rhel9
cups-libs                                                              2.3.3op2-39.el9_8.x86_64                 rpm      rhel9
libicu                                                                 67.1-10.el9_6.x86_64                     rpm      rhel9
dbus-tools                                                             1.12.20-8.el9.x86_64                     rpm      ubi9-base
dbus-daemon                                                            1.12.20-8.el9.x86_64                     rpm      ubi9-base
shared-mime-info                                                       2.1-5.el9.x86_64                         rpm      rhel9
gdk-pixbuf2                                                            2.42.6-6.el9_8.1.x86_64                  rpm      rhel9
gdk-pixbuf2-modules                                                    2.42.6-6.el9_8.1.x86_64                  rpm      rhel9
gtk-update-icon-cache                                                  3.24.31-9.el9_8.x86_64                   rpm      rhel9
adobe-source-code-pro-fonts                                            2.030.1.050-12.el9.1.noarch              rpm      rhel9
gsettings-desktop-schemas                                              40.0-8.el9_7.x86_64                      rpm      rhel9
publicsuffix-list-dafsa                                                20210518-3.el9.noarch                    rpm      rhel9
libpsl                                                                 0.21.1-5.el9.x86_64                      rpm      rhel9
libproxy                                                               0.4.15-35.el9.x86_64                     rpm      rhel9
glib-networking                                                        2.68.3-3.el9.x86_64                      rpm      rhel9
libsoup                                                                2.72.0-16.el9_8.1.x86_64                 rpm      rhel9
libtracker-sparql                                                      3.1.2-3.el9_1.x86_64                     rpm      rhel9
graphite2                                                              1.3.14-9.el9.x86_64                      rpm      rhel9
freetype                                                               2.10.4-10.el9_5.x86_64                   rpm      rhel9
harfbuzz                                                               2.7.4-10.el9.x86_64                      rpm      rhel9
fontconfig                                                             2.14.0-2.el9_1.x86_64                    rpm      rhel9
cairo                                                                  1.17.4-7.el9.x86_64                      rpm      rhel9
libXft                                                                 2.3.3-8.el9.x86_64                       rpm      rhel9
pango                                                                  1.48.7-3.el9.x86_64                      rpm      rhel9
cairo-gobject                                                          1.17.4-7.el9.x86_64                      rpm      rhel9
mkfontscale                                                            1.2.1-3.el9.x86_64                       rpm      rhel9
gtk3                                                                   3.24.31-9.el9_8.x86_64                   rpm      rhel9
libXfont2                                                              2.0.3-12.el9_8.3.x86_64                  rpm      rhel9
xorg-x11-drv-libinput                                                  1.0.1-4.el9_6.x86_64                     rpm      rhel9
xorg-x11-server-Xorg                                                   1.20.11-34.el9_8.3.x86_64                rpm      rhel9
libxfce4ui                                                             4.18.4-2.el9.x86_64                      rpm      epel
xorg-x11-fonts-misc                                                    7.5-33.el9.noarch                        rpm      rhel9
gstreamer1-plugins-base                                                1.22.12-8.el9_8.x86_64                   rpm      rhel9
imlib2                                                                 1.7.4-1.el9.x86_64                       rpm      epel
openbox-libs                                                           3.6.1-18.el9.x86_64                      rpm      epel
openbox                                                                3.6.1-18.el9.x86_64                      rpm      epel
pulseaudio                                                             15.0-3.el9.x86_64                        rpm      rhel9
xterm                                                                  366-12.el9_6.x86_64                      rpm      rhel9
exo                                                                    4.18.0-2.el9.x86_64                      rpm      epel
xorg-x11-server-Xvfb                                                   1.20.11-34.el9_8.3.x86_64                rpm      rhel9
xorg-x11-fonts-100dpi                                                  7.5-33.el9.noarch                        rpm      rhel9
xorg-x11-fonts-75dpi                                                   7.5-33.el9.noarch                        rpm      rhel9
st                                                                     0.9-1.el9.x86_64                         rpm      epel
dbus-x11                                                               1.12.20-8.el9.x86_64                     rpm      ubi9-base
libva                                                                  2.22.0-1.el9.x86_64                      rpm      rhel9
kbd                                                                    2.4.0-12.el9_8.x86_64                    rpm      rhel9
pulseaudio-utils                                                       15.0-3.el9.x86_64                        rpm      rhel9
libxkbcommon-devel                                                     1.0.3-4.el9.x86_64                       rpm      rhel9
google-noto-sans-cjk-ttc-fonts                                         20230817-2.el9.noarch                    rpm      rhel9
google-noto-sans-fonts                                                 20201206-5.el9.noarch                    rpm      rhel9
xdg-utils                                                              1.1.3-13.el9_6.noarch                    rpm      rhel9
xorg-x11-utils                                                         7.5-40.el9.x86_64                        rpm      rhel9
xdotool                                                                3.20211022.1-1.el9.x86_64                rpm      epel
xclip                                                                  0.13-17.git11cba61.el9.x86_64            rpm      epel
xorg-x11-server-utils                                                  7.7-44.el9.x86_64                        rpm      rhel9
xsel                                                                   1.2.1-1.el9.x86_64                       rpm      epel
xsettingsd                                                             1.0.2-2.el9.x86_64                       rpm      epel
breeze-cursor-theme                                                    5.27.12-1.el9.noarch                     rpm      epel
nginx-mod-fancyindex                                                   0.6.0-1.el9.x86_64                       rpm      epel
glibc-locale-source                                                    2.34-275.el9_8.x86_64                    rpm      ubi9-base
python3.11-pip                                                         22.3.1-6.el9.noarch                      rpm      rhel9
google-noto-emoji-fonts                                                20211102-1.el9.noarch                    rpm      rhel9
glibc-all-langpacks                                                    2.34-275.el9_8.x86_64                    rpm      ubi9-base
sudo                                                                   1.9.17p2-3.el9_8.x86_64                  rpm      rhel9
file                                                                   5.39-17.el9.x86_64                       rpm      ubi9-base
#
# python (/lsiopy)
aiofiles                                                               25.1.0                                   python   -
aiohappyeyeballs                                                       2.7.1                                    python   -
aiohttp                                                                3.14.3                                   python   -
aioice                                                                 0.10.2                                   python   -
aiosignal                                                              1.4.0                                    python   -
attrs                                                                  26.1.0                                   python   -
av                                                                     18.1.0                                   python   -
cffi                                                                   2.1.1                                    python   -
cryptography                                                           50.0.1                                   python   -
distro                                                                 1.9.0                                    python   -
dnspython                                                              2.8.0                                    python   -
evdev                                                                  2.0.0                                    python   -
frozenlist                                                             1.8.0                                    python   -
google-crc32c                                                          1.8.0                                    python   -
GPUtil                                                                 1.4.0                                    python   -
idna                                                                   3.19                                     python   -
ifaddr                                                                 0.2.0                                    python   -
msgpack                                                                1.2.2                                    python   -
multidict                                                              6.7.1                                    python   -
pasimple                                                               0.0.3                                    python   -
pcmflux                                                                2.0.0                                    python   -
pillow                                                                 12.3.0                                   python   -
pixelflux                                                              2.0.0                                    python   -
prometheus_client                                                      0.26.0                                   python   -
propcache                                                              0.5.2                                    python   -
psutil                                                                 7.2.2                                    python   -
pulsectl                                                               24.12.0                                  python   -
pycparser                                                              3.0                                      python   -
pyee                                                                   13.0.1                                   python   -
pylibsrtp                                                              1.0.0                                    python   -
pynput                                                                 1.8.2                                    python   -
pyOpenSSL                                                              26.4.0                                   python   -
python-xlib                                                            0.33                                     python   -
selkies @ file:///tmp/selkies-348bc4f61da66198573e7e57db9a266aca1991d5                                          python   -
six                                                                    1.17.0                                   python   -
typing_extensions                                                      4.16.0                                   python   -
watchdog                                                               6.0.0                                    python   -
websockets                                                             17.1                                     python   -
xkbcommon                                                              1.0.1                                    python   -
yarl                                                                   1.24.5                                   python   -
#

## Provenance summary

| REPO | packages |
|------|----------|
| epel | 24 |
| rhel9 | 211 |
| ubi9-base | 213 |

Method: baseline diff vs vanilla ubi9/ubi (188 pkgs) + GPG signature key per
package (EPEL9 key suffix 3228467c vs Red Hat keys). dnf INSTALLFROM headers
unavailable in container-mode builds (dnf --setopt=installfrom=url:1 tested, no effect).
